pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-26|e|46.82791500|2454969.743180|0.0868000|4486.00|0.57|0.65|13.408|284.940997|46.566540|2.410|0.150|-0.150|||||||0.7700||||1
Kepler-27|b|15.33480000|2454991.672600|0.1446000|5400.00|0.59|0.65|14.484|292.236769|41.085876|4.000|||||2895.31000||||||||1
Kepler-27|c|31.33090000|2454986.427400|0.1979000|5400.00|0.59|0.65|14.484|292.236769|41.085876|4.900|||||4385.87000||||||||1
Kepler-28|c|8.98580000|2454981.727700|0.1829000|4590.00|0.70|0.75|13.334|292.137029|42.429420|3.400|||||432.23000||||||||1
Kepler-29|b|10.33760000|2454982.750000|0.1170000|5750.00|0.96|1.00|14.131|298.348324|47.491226|3.600|0.500|-0.500|||127.10000|||0.03430||1400.00|||1
Kepler-29|c|13.29070000|2454978.471000|0.1270000|5750.00|0.96|1.00|14.131|298.348324|47.491226|2.900|0.400|-0.400|||95.30000|||0.02800||1400.00|||1
Kepler-30|c|60.32310500|2455357.887042||5498.00|0.95|0.99|13.997|285.283636|38.947281|12.300|0.400|-0.400|||640.00000|50.00000|-50.00000||0.4000|1400.00|||1
Kepler-30|d|143.34394000|2455273.530200||5498.00|0.95|0.99|13.997|285.283636|38.947281|8.800|0.500|-0.500|||23.10000|2.70000|-2.70000||0.3800|1400.00|||1
Kepler-31|b|20.86130000|2454992.141000|0.2080000|6034.00|1.31|1.21|14.233|294.023014|45.853081|5.500|1.100|-1.100||||||0.04110||2100.00|||1
Kepler-31|c|42.63180000|2454974.191000|0.2510000|6034.00|1.31|1.21|14.233|294.023014|45.853081|5.300|1.100|-1.100|||1493.70000|||0.04000||2100.00|||1
Kepler-32|b|5.90124000|2454974.902000|0.0880000|3793.00|0.53|0.54|13.616|297.842398|46.574281|2.200|0.200|-0.200|||1303.00000|||0.03890||303.00|14.00|-14.00|1
Kepler-32|c|8.75220000|2454977.378000|0.0970000|3793.00|0.53|0.54|13.616|297.842398|46.574281|2.000|0.200|-0.200|||158.90000|||0.03520||303.00|14.00|-14.00|1
Kepler-32|d|22.78020000|||3793.00|0.53|0.54|13.616|297.842398|46.574281|2.700|0.100|-0.100||||||||303.00|14.00|-14.00|1
Kepler-32|f|0.74296000|||3793.00|0.53|0.54|13.616|297.842398|46.574281|0.810|0.050|-0.050||||||||303.00|14.00|-14.00|1
Kepler-33|b|5.66793000|2454964.898100|0.2033000|5904.00|1.82|1.29|12.871|289.077548|46.005222|1.740|0.180|-0.180|7.870000|||||0.00877|0.5000||||1
Kepler-33|c|13.17562000|2454976.676400|0.2792000|5904.00|1.82|1.29|12.871|289.077548|46.005222|3.200|0.300|-0.300|13.800000|||||0.01602|0.4400||||1
HIP 79431|b|111.70000000||||||7.555|243.174057|-18.875504|||||||||||14.90|0.75|-0.83|0
HIP 91258|b|5.05050000|||5519.00|1.00|0.95|7.310|279.221466|61.702503|||||130.900||||||44.46|1.38|-1.47|0
HIP 97233|b|1058.80000000|||5020.00|5.34|1.93|5.671|296.421967|-0.696645|||||320.100||||||106.50|8.60|-7.40|0
HIP 105854|b|184.20000000|||4780.00||2.10|3.813|321.595306|-37.829430|||||178.100||||||84.60|5.36|-6.14|0
HIP 116454|b|9.12050000|2456907.890000||5089.00|0.72|0.78|8.604|353.955353|0.445516|2.530|0.180|-0.180|27.220000|4.410|11.82000|1.33000|-1.33000|0.03110|0.6500|55.20|5.40|-5.40|1
HR 810|b|312.00000000||||||4.750|40.639442|-50.800293|||||63.000||||||17.24|0.16|-0.17|0
HR 8799|b|170000.00000000||||||5.383|346.869659|21.134251|13.000|1.000|-1.000|||2000.00000|1000.00000|-600.00000|||39.94|1.31|-1.40|0
HD 564|b|492.30000000|||5902.00|1.01|0.96|7.218|2.470091|-50.267822|||||8.790||||||53.60|||0
HD 63454|b|2.81804900|||4840.00|1.05|0.84|7.596|114.841049|-78.278969|12.310||||64.190||||||35.80|1.07|-1.14|0
HD 65216|c|152.60000000|||5666.00||0.92|6.763|118.422173|-63.647324|||||||||||35.59|0.85|-0.90|0
HD 67087|b|352.20000000|||6330.00|1.55|1.36|7.098|121.915649|31.551319|||||73.600||||||88.81|8.16|-10.00|0
HD 6718|b|2496.00000000|||5746.00|1.02|0.96|7.269|16.952761|-8.233706|||||24.100||||||54.90|2.40|-2.20|0
HD 69830|b|8.66700000|||5385.00||0.86|4.953|124.599777|-12.632174|||||3.510||||||12.58|0.12|-0.12|0
HD 70573|b|851.80000000|||5737.00||1.00|7.558|125.708135|1.859323|||||148.500||||||45.70|||0
HD 73256|b|2.54858000|||5570.00|0.89|1.05|6.719|129.095901|-30.037626|||||269.000||||||36.52|1.00|-1.06|0
HD 73526|c|379.10000000||||||7.708|129.318680|-41.319103|||||65.100||||||94.61|8.25|-9.99|0
HD 7449|c|4046.00000000|||6024.00|1.01|1.05|6.425|18.622173|-5.047387|||||||||||38.52|1.11|-1.18|0
HD 75289|b|3.50926700|||6095.00||1.21|5.346|131.918289|-41.736794|||||54.900||||||28.94|0.46|-0.48|0
HD 76700|b|3.97100000||||||6.911|133.481308|-66.800995|||||25.000||||||59.70|2.26|-2.45|0
HD 7924|d|24.45100000|||5075.00|0.78|0.83|5.618|20.496313|76.710281|||||1.650||||||16.82|0.13|-0.13|0
HD 80606|b|111.43570000|2454876.316000|0.4958000|5645.00|0.98|0.97|7.702|140.656540|50.603722|10.980|0.340|-0.340||474.000|1252.20000|34.96000|-34.96000|0.10300|0.7500|29.04|||1
HD 82943|b|441.47000000|||6016.00||1.20|5.509|143.711395|-12.129546|||||41.910|534.25000|8.89900|-8.89900|||27.46|0.62|-0.65|0
HD 85390|b|788.00000000|||5186.00||0.76|7.012|147.510406|-49.790268|||||3.820||||||33.96|0.94|-1.00|0
HD 86264|b|1475.00000000||||||6.505|149.240997|-15.895122|||||132.000||||||72.57|4.08|-4.59|0
HD 8673|b|1634.00000000||||||5.440|21.536604|34.579700|||||||||||38.26|1.12|-1.19|0
HD 89307|b|2157.00000000||||||5.891|154.588699|12.621108|||||28.900||||||30.88|0.92|-0.97|0
HD 92788|b|325.00000000|||5821.00||1.10|6.131|160.702209|-2.183756|||||106.200||||||32.32|1.00|-1.07|0
HD 95089|b|507.00000000|||5002.00|4.90|1.58|6.240|164.698898|1.729216|||||||||||149.03|19.67|-26.72|0
HD 96127|b|647.30000000|||4152.00|35.00|0.91|4.887|166.441452|44.301559|||||104.800||||||221.24|||0
HD 98649|b|4951.00000000|||5759.00|1.00|1.00|6.811|170.215698|-23.217342|||||176.000||||||42.77|1.75|-1.91|0
HD 99492|c|4970.00000000|||4740.00|0.96|0.83|5.852|171.692825|3.006328|||||||||||17.99|1.01|-1.14|0
HIP 14810|b|6.67385500|||5485.00|1.00|0.99|7.202|47.809292|21.097359|||||424.480||||||52.88|3.77|-4.39|0
HIP 5158|b|345.72000000|||4962.00||0.78|8.280|16.508533|-22.453154|||||||||||44.80|3.89|-4.70|0
HIP 57274|c|32.03000000|2455793.035000|0.2450000||||6.958|176.170685|30.959293|||||32.400||||||25.87|0.71|-0.75|0
Kepler-307|c|13.08400000|||5445.00|1.08|0.98|12.833|297.795132|40.417703|2.800|1.050|-0.410|||1.50000|0.50000|-0.40000||||||1
Kepler-308|c|15.38231000|2454972.082770|0.1646000|5895.00|0.94||14.614|295.785154|40.439550|2.160|1.040|-1.040|||||||0.1900||||1
Kepler-309|b|5.92365300|2454967.682390|0.1161000|4713.00|0.72||13.504|297.509851|46.961281|1.560|0.140|-0.140|||||||0.8100||||1
Kepler-309|c|105.35638300|2454971.683920|0.1524000|4713.00|0.72||13.504|297.509851|46.961281|2.510|0.180|-0.180|||||||0.4000||||1
Kepler-310|c|56.47542000|2454976.813090|0.2555000|5797.00|0.88|0.85|13.056|288.839363|46.986744|3.380|1.580|-1.580|||||||0.8900||||1
Kepler-310|d|92.87612500|2454978.925670|0.2969000|5797.00|0.88|0.85|13.056|288.839363|46.986744|2.470|1.150|-1.150|||||||0.7900||||1
Kepler-311|b|9.17609200|2454971.717400|0.1809000|5905.00|1.19|1.06|12.751|282.061290|47.085491|1.700|0.330|-0.330|||||||0.0100||||1
Kepler-311|c|19.73828600|2454966.285290|0.2025000|5905.00|1.19|1.06|12.751|282.061290|47.085491|1.430|0.280|-0.280|||||||0.4200||||1
Kepler-312|c|19.74741200|2454980.103600|0.1407000|6115.00|1.47|1.23|11.902|298.395772|42.459756|3.150|0.610|-0.610|||||||0.1800||||1
Kepler-313|b|14.97041800|2454967.500600|0.2441000|5727.00|1.54|0.90|12.868|298.294935|48.775459|2.530|0.310|-0.310|||||||0.0200||||1
Kepler-313|c|32.27327300|2454982.103310|0.2713000|5727.00|1.54|0.90|12.868|298.294935|48.775459|2.570|0.420|-0.420|||||||0.7400||||1
Kepler-314|c|5.96039200|2454970.264850|0.1152000|5378.00|0.95|1.02|11.242|294.674114|42.075588|2.900|0.430|-0.430|||||||0.7500||||1
Kepler-315|b|96.10114100|2455020.732320|0.3483000|5796.00|1.04|0.78|13.982|298.023104|43.363522|3.770|0.780|-0.780|||||||0.7400||||1
Kepler-315|c|265.46933500|2454984.068380|0.4243000|5796.00|1.04|0.78|13.982|298.023104|43.363522|4.150|0.960|-0.960|||||||0.9400||||1
Kepler-316|c|6.82776600|2454971.614010|0.1008000|4204.00|0.52|0.53|13.324|290.826023|44.184109|1.160|0.120|-0.120|||||||0.1800||||1
Kepler-317|b|5.52424200|2454968.619310|0.1113000|5497.00|0.94|0.95|14.095|294.943885|39.032062|2.090|0.960|-0.960|||||||0.3000||||1
Kepler-317|c|8.77501000|2454966.709800|0.1190000|5497.00|0.94|0.95|14.095|294.943885|39.032062|1.720|0.790|-0.790|||||||0.3800||||1
Kepler-318|c|11.81500700|2454966.089650|0.1065000|5746.00|1.19|1.05|12.148|298.482828|46.793617|3.680|0.650|-0.650|||||||0.0100||||1
Kepler-319|b|4.36270500|2454968.230730|0.0914000|5526.00|0.90|1.29|12.631|288.811943|39.770658|1.630|0.230|-0.230|||||||0.2600||||1
Kepler-319|c|6.94135700|2454970.542850|0.0746000|5526.00|0.90|1.29|12.631|288.811943|39.770658|2.630|0.370|-0.370|||||||0.1300||||1
Kepler-319|d|31.78192500|2454967.866670|0.1610000|5526.00|0.90|1.29|12.631|288.811943|39.770658|2.290|0.350|-0.350|||||||0.5500||||1
Kepler-320|c|17.93493700|2454971.218200|0.2192000|6435.00|1.11||12.546|293.213548|46.175125|1.370|0.640|-0.640|||||||0.2200||||1
Kepler-321|b|4.91537900|2454965.695430|0.1135000|5740.00|1.19|1.01|11.621|294.453674|44.145756|1.770|0.340|-0.340|||||||0.0600||||1
Kepler-321|c|13.09392100|2454977.523740|0.0892000|5740.00|1.19|1.01|11.621|294.453674|44.145756|2.320|0.450|-0.450|||||||0.0100||||1
Kepler-322|c|4.33723400|2454965.849590|0.1023000|5388.00|0.89|0.91|12.246|281.348824|44.295242|1.670|0.180|-0.180|||||||0.2300||||1
