pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
MOA-2009-BLG-319L|b||||||0.38||271.742208|-26.819692||||||50.00000|44.00000|-24.00000|||6100.00|1100.00|-1200.00|0
MOA-2010-BLG-477L|b||||5950.00||0.67||271.531006|-31.454477||||||476.70000|254.30000|-95.30000|||2300.00|600.00|-600.00|0
MOA-2010-BLG-073L|b||||||0.16||272.547258|-26.522932||||||3496.00000|635.60000|-635.60000|||2800.00|400.00|-400.00|0
MOA-2011-BLG-293L|b||||||0.86||268.913958|-28.476847||||||1525.50000|95.30000|-95.30000|||7720.00|440.00|-440.00|0
MOA-2011-BLG-322L|b||||||0.39||271.223333|-27.220944||||||3686.70000|4258.70000|-1779.80000|||7560.00|910.00|-910.00|0
NGC 2682 YBP 1194|b|6.95900000|||5780.00||1.01|13.366|132.753364|11.814655|||||35.800|||||||||0
NGC 2682 Sand 364|b|121.71000000|||4284.00|21.80|1.35|7.542|132.486760|11.692484|||||67.420|||||||||0
NGC 4349 127|b|677.80000000|||||3.90|8.041|186.147811|-61.820004|||||188.000||||||2200.00|||0
OGLE-2003-BLG-235L|b||||||0.63||271.318125|-28.895000||||||826.35800|254.26400|-190.69800|||5800.00|600.00|-700.00|0
OGLE-2005-BLG-071L|b||||||0.46||267.540708|-34.673194||||||1207.70000|127.10000|-127.10000|||3200.00|400.00|-400.00|0
OGLE-2005-BLG-169L|b||||||0.69||271.522167|-30.732639||||||14.10000|0.90000|-0.90000|||4100.00|400.00|-400.00|0
Kepler-1632|b|448.30355800|2455398.175930|0.5297100|6137.00|1.19|1.12|12.033|294.494859|43.913620|2.470|0.840|-0.350||||||0.01873||584.00|198.11|-88.40|1
Kepler-1633|b|186.40427100|2455049.221100|0.4358000|6256.00|1.32|1.20|12.447|288.515202|44.923225|1.580|0.650|-0.250||||||0.01057||811.00|325.02|-119.04|1
Kepler-1635|b|469.63111000|2455255.495400|0.5648300|5347.00|0.85|0.89|14.345|285.348993|45.556183|3.640|0.330|-0.670||||||0.03873||1084.00|97.27|-62.41|1
Kepler-1636|b|425.47785000|2454982.064600|0.7436700|5797.00|1.02|1.01|14.645|294.057625|46.441031|3.230|0.760|-0.350||||||0.02883||1567.00|361.75|-174.46|1
Kepler-1637|b|6.10960324|2454966.809630|0.2327100|5789.00|1.02|1.02|12.142|282.236848|48.154297|0.890|0.180|-0.090||||||0.00762||506.00|101.01|-44.92|1
Kepler-1638|b|259.33683000|2454998.690500|0.6657900|5710.00|0.95|0.97|13.550|295.482407|48.524445|1.870|0.330|-0.220||||||0.01830||879.00|149.76|-76.78|1
Kepler-1640|b|7.58441260|2454970.848600|0.1588000|6324.00|1.43|1.27|13.490|294.557890|40.850498|4.820|2.480|-0.800||||||0.03087||1379.00|610.91|-209.88|1
Kepler-1641|b|19.67226600|2454967.305600|0.1985800|6152.00|1.19|1.12|13.161|296.359440|41.574532|3.110|1.130|-0.580||||||0.02418||961.00|325.32|-166.05|1
Kepler-1641|c|32.65721200|2454985.875000|0.2492500|6152.00|1.19|1.12|13.161|296.359440|41.574532|2.950|0.980|-0.490||||||0.02331||961.00|325.32|-166.05|1
Kepler-1642|b|12.20575130|2454967.129600|0.1022500|5355.00|0.84|0.88|12.613|297.212160|43.643719|3.200|0.340|-0.250||||||0.03527||447.00|49.12|-35.29|1
Kepler-1643|b|5.34264507|2454967.380360|0.1000400|5508.00|0.88|0.92|12.284|300.431000|44.751011|2.300|0.250|-0.150||||||0.02360||414.00|40.81|-25.58|1
Kepler-1644|b|21.09077580|2454966.961970|0.1928700|5499.00|0.86|0.89|12.989|285.475055|48.034935|1.880|0.520|-0.160||||||0.02013||592.00|61.31|-45.49|1
Kepler-1645|b|16.17795610|2454965.336290|0.2195400|5812.00|1.02|1.02|13.286|297.479473|48.418571|1.780|0.430|-0.200||||||0.01619||844.00|205.04|-89.78|1
Kepler-539|c|1000.00000000|||5820.00|0.95|1.05|11.294|299.122454|41.866760||||||762.79200|381.39600|-381.39600|||313.00|13.20|-12.73|1
HD 191806|b|1606.30000000|||6010.00||1.14|6.966|302.367950|52.276329|||||140.500||||||73.47|3.25|-3.57|0
HD 214823|b|1877.00000000|||6215.00||1.22|6.952|340.082794|31.787594|||||281.400||||||97.47|7.70|-9.14|0
HD 221585|b|1173.00000000|||5620.00||1.19|6.157|353.225189|63.155483|||||27.900||||||53.59|1.91|-2.06|0
Kepler-1647|b|1107.59230000|2454998.497200||6210.00|1.79|1.22|12.376|298.150086|40.656175|11.874|0.138|-0.138|||483.00000|206.00000|-206.00000||||||1
MOA-2013-BLG-605L|b||||||0.03||269.678542|-29.398239||||||3.20000|0.50000|-0.30000||||||0
HD 219828|c|4791.00000000|||5891.00|1.69|1.23|6.871|349.694733|18.645720|||||269.400||||||77.90|||0
K2-39|b|4.60497000|2456985.431500||4912.00|2.93|1.19|9.082|338.368392|-9.022769|5.710|0.630|-0.630||13.800|39.80000|4.40000|-4.40000|0.01790|||||1
WASP-120|b|3.61127060|2456779.435560|0.1483000|6450.00|1.87|1.39|10.148|62.616051|-45.898220|16.511|1.076|-1.076|5.900000|509.000|1541.47550|66.74430|-66.74430||0.7800|437.00|21.00|-21.00|1
WASP-123|b|2.97764120|2456845.170820|0.1289000|5740.00|1.28|1.17|11.236|289.478676|-32.861130|14.773|0.729|-0.729|7.130000|114.200|285.72917|11.44188|-11.44188||0.5300|214.00|11.00|-11.00|1
HATS-25|b|4.29864320|2456870.368720|0.1335000|5715.00|1.11|0.99|11.788|207.907777|-23.781174|14.123|1.121|-1.121|10.030000|76.800|194.82979|13.34886|-13.34886|0.11710|0.5380|466.00|30.00|-30.00|1
HATS-26|b|3.30238810|2456867.423200|0.2173000|6071.00|2.04|1.30|11.839|144.926863|-28.585590|19.616|2.354|-2.354|5.010000|73.300|206.58950|24.15508|-24.15508|0.08790|0.3300|907.00|69.00|-49.00|1
HATS-27|b|4.63703800|2457029.337400|0.2013000|6438.00|1.74|1.42|11.831|193.552560|-46.587715|16.814|2.242|-1.233|7.550000|51.000|168.44990|41.31790|-41.31790|0.08950|0.3600|840.00|80.00|-51.00|1
